Time,United Kingdom on a Customs Basis,European Union excluding the United Kingdom on a Customs Basis,Japan on a Customs Basis,United Kingdom on a Balance of Trade Basis,European Union excluding the United Kingdom on a Balance of Trade Basis,Japan on a Balance of Trade Basis
04/07,"1,228,900,000","2,054,000,000","887,900,000","1,350,700,000","2,256,300,000","973,100,000"
05/07,"1,278,800,000","2,034,700,000","931,300,000","1,410,100,000","2,252,000,000","1,012,400,000"
06/07,"1,375,400,000","1,747,400,000","803,100,000","1,513,300,000","1,925,500,000","872,000,000"
07/07,"1,009,500,000","1,955,200,000","684,600,000","1,113,400,000","2,157,400,000","743,100,000"
08/07,"951,800,000","1,859,000,000","756,800,000","1,049,000,000","2,046,600,000","821,000,000"
09/07,"770,900,000","1,612,000,000","681,500,000","848,300,000","1,768,400,000","738,700,000"
10/07,"984,300,000","1,806,300,000","700,900,000","1,084,100,000","1,986,700,000","747,300,000"
11/07,"1,172,600,000","1,980,700,000","770,900,000","1,295,200,000","2,174,000,000","843,100,000"
12/07,"829,100,000","1,527,400,000","682,700,000","912,200,000","1,676,700,000","734,800,000"
01/08,"1,235,300,000","1,497,800,000","655,900,000","1,334,600,000","1,612,900,000","672,800,000"
02/08,"1,161,900,000","1,643,600,000","764,200,000","1,255,100,000","1,764,000,000","846,200,000"
03/08,"969,100,000","1,848,100,000","737,900,000","1,044,900,000","1,978,400,000","765,300,000"
04/08,"1,022,600,000","1,748,900,000","884,100,000","1,099,700,000","1,866,000,000","941,600,000"
05/08,"1,316,300,000","1,953,100,000","1,152,600,000","1,412,500,000","2,122,700,000","1,244,300,000"
06/08,"984,500,000","2,085,300,000","1,080,400,000","1,060,000,000","2,245,100,000","1,148,500,000"
07/08,"1,193,000,000","2,222,800,000","793,400,000","1,279,800,000","2,387,600,000","840,400,000"
08/08,"1,093,600,000","1,946,600,000","1,111,500,000","1,183,400,000","2,118,100,000","1,165,600,000"
09/08,"1,000,000,000","1,881,100,000","986,600,000","1,071,800,000","2,054,800,000","1,050,800,000"
10/08,"1,202,500,000","2,346,600,000","1,013,900,000","1,288,700,000","2,505,200,000","1,073,200,000"
11/08,"678,300,000","2,169,700,000","1,061,500,000","724,800,000","2,355,200,000","1,128,500,000"
12/08,"1,138,900,000","1,946,700,000","843,900,000","1,218,100,000","2,087,300,000","884,400,000"
01/09,"970,100,000","1,558,600,000","693,400,000","1,040,200,000","1,635,100,000","741,800,000"
02/09,"892,500,000","1,497,800,000","683,400,000","950,300,000","1,609,500,000","734,100,000"
03/09,"1,327,600,000","1,624,500,000","844,200,000","1,413,700,000","1,762,900,000","898,700,000"
04/09,"854,100,000","1,545,400,000","765,500,000","904,900,000","1,634,000,000","815,600,000"
05/09,"1,103,500,000","1,371,800,000","623,600,000","1,178,800,000","1,433,700,000","668,600,000"
06/09,"836,500,000","1,331,000,000","716,800,000","895,900,000","1,416,900,000","751,200,000"
07/09,"850,700,000","1,550,400,000","702,700,000","911,900,000","1,638,700,000","749,300,000"
08/09,"703,700,000","1,207,600,000","612,300,000","752,900,000","1,282,100,000","648,400,000"
09/09,"1,229,500,000","1,412,100,000","613,600,000","1,316,200,000","1,497,600,000","652,600,000"
10/09,"1,236,900,000","1,532,000,000","748,900,000","1,324,800,000","1,649,200,000","795,300,000"
11/09,"1,233,600,000","1,547,900,000","722,300,000","1,323,200,000","1,659,400,000","757,100,000"
12/09,"813,100,000","1,469,700,000","589,600,000","871,300,000","1,566,700,000","623,200,000"
01/10,"1,193,500,000","1,234,500,000","641,800,000","1,280,300,000","1,349,200,000","680,400,000"
02/10,"1,113,200,000","1,335,500,000","655,400,000","1,194,300,000","1,462,400,000","698,900,000"
03/10,"1,741,500,000","1,283,500,000","687,700,000","1,490,600,000","1,414,600,000","719,400,000"
04/10,"920,500,000","1,386,300,000","652,600,000","985,500,000","1,561,200,000","695,300,000"
05/10,"1,269,700,000","1,581,500,000","822,000,000","1,365,500,000","1,792,300,000","872,300,000"
